  county,number,name,party,number_vote,stample_vote,rate_vote
臺北市,1,吳蕚洋,無,5617,,0.4
臺北市,2,丁守中,中國國民黨,577566,,40.82
臺北市,3,姚文智,民主進步黨,244641,,17.29
臺北市,5,李錫錕,無,6172,,0.44
臺北市,4,柯文哲,無,580820,*,41.05
高雄市,1,韓國瑜,中國國民黨,892545,*,53.87
高雄市,2,陳其邁,民主進步黨,742239,,44.8
高雄市,3,璩美鳳,無,7998,,0.48
高雄市,4,蘇盈貴,無,14125,,0.85
新北市,1,蘇貞昌,民主進步黨,873692,,42.85
新北市,2,侯友宜,中國國民黨,1165130,*,57.15
臺南市,2,高思博,中國國民黨,312874,,32.37
臺南市,3,林義豐,無,84153,,8.71
臺南市,4,許忠信,無,45168,,4.67
臺南市,5,陳永和,無,117179,,12.12
臺南市,1,黃偉哲,民主進步黨,367518,*,38.02
臺南市,6,蘇煥智,無,39778,,4.11
臺中市,2,林佳龍,民主進步黨,619855,,42.35
臺中市,3,盧秀燕,中國國民黨,827996,*,56.57
臺中市,1,宋原通,無,15919,,1.09
桃園市,1,朱梅雪,無,18200,,1.76
桃園市,4,吳富彤,無,3867,,0.37
桃園市,2,陳學聖,中國國民黨,407234,,39.42
桃園市,3,楊麗環,無,51518,,4.99
桃園市,5,鄭文燦,民主進步黨,552330,*,53.46
連江縣,2,朱秀珍,無,1284,,17.33
連江縣,4,劉增應,中國國民黨,4861,*,65.62
連江縣,3,魏耀乾,無,336,,4.54
連江縣,1,蘇柏豪,樹黨,927,,12.51
金門縣,3,汪承樺,教科文預算保障e聯盟,403,,0.82
金門縣,2,洪志恒,金門高粱黨,832,,1.69
金門縣,6,洪和成,無,366,,0.74
金門縣,4,陳福海,無,22719,,46.15
金門縣,1,楊鎮浯,中國國民黨,23520,*,47.78
金門縣,5,謝宜璋,無,1389,,2.82
宜蘭縣,1,林信華,無,27399,,10.95
宜蘭縣,2,林姿妙,中國國民黨,123767,*,49.48
宜蘭縣,4,林錦坤,無,1922,,0.77
宜蘭縣,5,陳秋境,無,1424,,0.57
宜蘭縣,3,陳歐珀,民主進步黨,95609,,38.23
新竹縣,4,徐欣瑩,民國黨,91190,,32.29
新竹縣,1,楊文科,中國國民黨,107877,*,38.2
新竹縣,2,葉芳棟,無,5168,,1.83
新竹縣,3,鄭朝方,民主進步黨,78170,,27.68
苗栗縣,1,朱泰平,無,6880,,2.26
苗栗縣,2,徐定禎,無,112704,,37.03
苗栗縣,4,徐耀昌,中國國民黨,175756,*,57.74
苗栗縣,3,黃玉燕,無,9030,,2.97
彰化縣,2,王惠美,中國國民黨,377795,*,53.18
彰化縣,3,白雅燦,無,7402,,1.04
彰化縣,5,洪敏雄,無,7263,,1.02
彰化縣,4,黃文玲,無,34690,,4.88
彰化縣,1,魏明谷,民主進步黨,283269,,39.87
南投縣,1,林明溱,中國國民黨,195385,*,66.72
南投縣,2,洪國浩,民主進步黨,97460,,33.28
雲林縣,3,王麗萍,無,11261,,2.88
雲林縣,2,李進勇,民主進步黨,163325,,41.72
雲林縣,1,林佳瑜,無,6163,,1.57
雲林縣,4,張麗善,中國國民黨,210770,*,53.83
嘉義縣,4,吳育仁,中國國民黨,84243,,29.54
嘉義縣,2,吳芳銘,無,51020,,17.89
嘉義縣,3,林國龍,無,4596,,1.61
嘉義縣,1,翁章梁,民主進步黨,145288,*,50.95
屏東縣,1,李鎔任,無,9819,,2.09
屏東縣,3,潘孟安,民主進步黨,262809,*,55.9
屏東縣,2,蘇清泉,中國國民黨,197518,,42.01
臺東縣,4,彭權國,無,988,,0.83
臺東縣,3,黃裕斌,無,640,,0.54
臺東縣,2,劉櫂豪,民主進步黨,44264,,37.04
臺東縣,1,鄺麗貞,無,3049,,2.55
臺東縣,5,饒慶鈴,中國國民黨,70577,*,59.05
花蓮縣,1,徐榛蔚,中國國民黨,121297,*,71.52
花蓮縣,2,劉曉玫,民主進步黨,43879,,25.87
花蓮縣,3,黄師鵬,無,4420,,2.61
澎湖縣,4,吳政隆,無,2999,,5.67
澎湖縣,7,呂華苑,無,468,,0.88
澎湖縣,1,翁珍聖,無,1379,,2.61
澎湖縣,3,陳大松,無,5822,,11
澎湖縣,6,陳光復,民主進步黨,17347,,32.78
澎湖縣,2,鄭清發,無,4330,,8.18
澎湖縣,5,賴峰偉,中國國民黨,20570,*,38.87
基隆市,2,林右昌,民主進步黨,102167,*,54.14
基隆市,1,謝立功,中國國民黨,86529,,45.86
新竹市,2,李驥羣,無,705,,0.32
新竹市,6,林智堅,民主進步黨,107612,*,49.57
新竹市,4,許明財,中國國民黨,60508,,27.87
新竹市,5,郭榮睿,無,574,,0.26
新竹市,3,黃源甫,無,3603,,1.66
新竹市,1,謝文進,無,44101,,20.31
嘉義市,4,涂醒哲,民主進步黨,56256,,39.56
嘉義市,3,黃宏成台灣阿成世界偉人財神總統,無,1822,,1.28
嘉義市,2,黃敏惠,中國國民黨,58558,*,41.18
嘉義市,1,蕭淑麗,無,25572,,17.98
