   縣市,   有效票,   無效票,   投票數,   選舉人數
臺北市,1414816,12827,1427643,2164155
高雄市,1656907,20743,1677650,2281338
新北市,2038822,50305,2089127,3264128
臺中市,1463770,29595,1493365,2213789
臺南市,966670,23534,990204,1546862
桃園市,1033149,17378,1050527,1732591
連江縣,7408,274,7682,10773
金門縣,49229,1190,50419,117913
宜蘭縣,250121,7927,258048,373510
新竹縣,282405,8195,290600,427652
苗栗縣,304370,11471,315841,446507
彰化縣,710419,20717,731136,1031222
南投縣,292845,7763,300608,413222
雲林縣,391519,12928,404447,565078
嘉義縣,285147,18122,303269,428649
屏東縣,470146,19932,490078,689393
臺東縣,119518,3268,122786,179706
花蓮縣,169596,4780,174376,268817
澎湖縣,52915,1541,54456,86603
基隆市,188696,4555,193251,309428
新竹市,217103,4299,221402,338323
嘉義市,142208,2326,144534,212843
